city_name,x,y,quantity
Miasto_161,6,5,3
Miasto_162,2,2,12
Miasto_163,12,4,13
Miasto_164,1,12,14
Miasto_165,9,4,9
Miasto_166,7,4,2
Miasto_167,15,9,9
Miasto_168,10,6,9
Miasto_169,2,0,18
Miasto_170,7,12,2
Miasto_171,10,1,11
Miasto_172,7,3,6
Miasto_173,1,1,15
Miasto_174,11,5,4
Miasto_175,5,10,13
Miasto_176,5,12,4
Miasto_177,7,9,13
Miasto_178,3,5,11
Miasto_179,8,4,7
Miasto_180,10,3,9
Miasto_181,4,13,1
Miasto_182,4,10,4
Miasto_183,4,8,3
Miasto_184,4,4,16
Miasto_185,12,2,14
Miasto_186,0,5,7
Miasto_187,1,10,7
Miasto_188,0,3,7
Miasto_189,13,13,11
Miasto_190,9,10,5
Miasto_191,6,11,18
Miasto_192,0,10,10
Miasto_193,8,13,9
Miasto_194,6,10,18
Miasto_195,0,9,17
Miasto_196,13,0,15
Miasto_197,1,14,18
Miasto_198,13,7,16
Miasto_199,0,15,5
Miasto_200,14,6,1
Miasto_201,4,9,15
Miasto_202,8,5,8
Miasto_203,8,11,7
Miasto_204,6,4,14
Miasto_205,1,11,4
Miasto_206,2,5,14
Miasto_207,3,8,17
Miasto_208,7,10,1
Miasto_209,6,3,2
Miasto_210,7,11,8
Miasto_211,3,13,14
Miasto_212,11,2,5
Miasto_213,13,11,1
Miasto_214,3,11,13
Miasto_215,3,15,5
Miasto_216,7,0,9
Miasto_217,2,14,8
Miasto_218,12,1,8
Miasto_219,10,4,16
Miasto_220,3,3,7
Miasto_221,2,11,8
Miasto_222,3,9,14
Miasto_223,7,5,4
Miasto_224,1,3,9
Miasto_225,11,11,11
Miasto_226,1,9,2
Miasto_227,13,5,14
Miasto_228,9,6,9
Miasto_229,5,5,10
Miasto_230,8,2,15
Miasto_231,13,9,6
Miasto_232,10,11,17
Miasto_233,4,15,11
Miasto_234,0,4,8
Miasto_235,7,13,10
Miasto_236,11,14,3
Miasto_237,14,15,13
Miasto_238,15,4,9
Miasto_239,14,5,15
Miasto_240,7,6,11
Miasto_241,8,0,15
Miasto_242,15,12,7
Miasto_243,2,15,11
Miasto_244,0,13,14
Miasto_245,15,0,15
Miasto_246,9,3,9
Miasto_247,13,4,9
Miasto_248,5,6,17
Miasto_249,13,2,4
